img,time,lat,lon,dir,blart_txt,other_txt,bold,eyes,nose,simpson,spray,main_col,black,pink,blue,yellow,red,green,white,base,base_mat,private_prop,new_img_req,unsure,notes
IMG_6778.jpg,2026:02:25 16:54:01,62.599411,29.749028,36.97,True,TM 24,True,True,False,False,True,pink,True,True,False,False,False,False,False,autokatos,tiili,True,False,False,
IMG_6817.jpg,2026:02:27 15:43:47,62.607517,29.767186,104.38,True,,False,True,True,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7089.jpg,2026:03:16 18:07:57,62.605431,29.751086,282.39,False,,False,True,False,False,True,black,True,False,False,False,False,False,False,sähkökaappi,metalli,False,False,True,
IMG_6829.jpg,2026:02:28 16:15:39,62.599456,29.774453,265.79,True,,False,True,False,False,True,pink,False,True,False,False,False,False,False,muu,betoni,False,False,False,
IMG_6815.jpg,2026:02:27 15:29:37,62.606586,29.766639,220.5,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6814.jpg,2026:02:27 15:29:20,62.606522,29.766547,35.76,True,TM,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7288.jpg,2026:03:29 16:11:59,62.615219,29.768975,80.19,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_6828.jpg,2026:02:28 16:15:23,62.599592,29.774419,161.47,True,TM,False,False,False,False,True,pink,False,True,False,False,False,False,False,muu,betoni,False,False,False,Samassa rakennuksessa toinen
IMG_6810.jpg,2026:02:27 15:17:13,62.603942,29.757136,212.0,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6804.jpg,2026:02:27 14:28:18,62.603444,29.750625,26.69,True,,False,True,True,False,True,pink,False,True,False,False,False,False,False,hiekoituslaatikko,muovi,False,False,False,
IMG_6838.jpg,2026:02:28 17:03:58,62.588886,29.784108,74.33,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7267.jpg,2026:03:28 14:37:29,62.612064,29.813544,268.65,True,,False,True,False,False,True,green,False,False,False,False,False,True,False,ovi,metalli,False,False,False,
IMG_5277.jpg,2026:03:10 20:54:13,62.599097,29.749975,24.58,True,,False,False,False,False,False,blue,False,False,True,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7266.jpg,2026:03:28 14:37:19,62.612061,29.813583,265.29,True,,False,False,False,False,True,green,False,False,False,False,False,True,False,muu,betoni,False,False,False,
IMG_5465.jpg,2026:03:31 20:24:06,62.599608,29.742742,309.97,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,ovi,puu,False,False,False,
IMG_6811.jpg,2026:02:27 15:18:16,62.603589,29.758456,238.31,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6807.jpg,2026:02:27 15:07:08,62.602597,29.749378,33.74,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6813.jpg,2026:02:27 15:26:56,62.605217,29.765239,123.52,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7270.jpg,2026:03:28 15:13:24,62.619592,29.815889,95.54,True,,False,False,False,False,True,green,False,False,False,False,False,True,False,seinä,tiili,False,False,True,
IMG_7265.jpg,2026:03:28 14:36:01,62.611264,29.813667,62.69,True,,False,False,False,False,True,green,False,False,False,False,False,True,False,jakokaappi,metalli,False,False,False,
IMG_6812.jpg,2026:02:27 15:20:49,62.602986,29.760808,316.01,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_5429.jpg,2026:03:25 18:43:44,62.599925,29.746447,26.65,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,outo kuviointi
IMG_5367.jpg,2026:03:14 14:02:10,62.595947,29.772464,341.66,True,,False,False,False,False,False,blue,False,False,True,False,False,False,False,pleksi/muovi,muovi,False,False,False,
IMG_6901.jpg,2026:03:01 16:57:26,62.612717,29.786203,50.1,True,,False,True,True,False,True,black,True,False,False,False,False,False,False,meluaita,puu,False,False,False,
IMG_7174.jpg,2026:03:20 16:59:15,62.591103,29.770964,96.31,True,TM,False,True,True,False,False,blue,False,False,True,False,False,False,False,alikulku,muu,False,False,False,
IMG_6900.jpg,2026:03:01 16:51:14,62.614975,29.780378,322.03,True,,False,True,False,False,True,black,True,False,False,False,False,False,False,muuntamo,metalli,False,False,False,
IMG_5366.jpg,2026:03:14 13:48:54,62.589925,29.79,263.3,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_5428.jpg,2026:03:25 18:13:05,62.592319,29.786236,138.65,True,,False,True,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6862.jpg,2026:02:28 17:43:28,62.595578,29.768411,325.96,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6889.jpg,2026:03:01 16:18:22,62.610683,29.774753,51.92,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7229.jpg,2026:03:26 16:16:37,62.586997,29.773833,134.98,True,TUNNEL,False,True,True,False,True,black,True,True,False,False,False,False,False,alikulku,betoni,False,False,False,
IMG_5364.jpg,2026:03:14 13:22:57,62.602108,29.766411,12.35,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6902.jpg,2026:03:01 16:59:21,62.61195,29.787778,32.84,True,TM,True,False,False,False,True,black,True,True,False,False,True,False,False,alikulku,betoni,False,True,False,
IMG_7361.jpg,2026:04:01 17:27:02,62.620625,29.850414,14.27,True,24,True,False,False,False,True,white,False,False,False,False,False,False,True,muu,tiili,False,False,False,
IMG_7188.jpg,2026:03:23 19:36:44,62.595019,29.801969,158.43,True,,False,False,False,False,True,pink,False,True,False,False,False,False,False,muu,metalli,False,False,False,alleviivattu
IMG_7176.jpg,2026:03:20 17:02:03,62.590706,29.769297,160.98,True,,False,False,False,False,False,red,False,False,False,False,True,False,False,jakokaappi,metalli,False,False,False,alleviivattu
